"","sample_id","lipo","cell_seeded","time","variable","E590","time_str","sample_id_modified","vector","condition","E590_Ctrl","E590_over_Ctrl"
"122","S2",TRUE,TRUE,120,"E590_zeroed_1",490871.8,"120 h","XS2","XS2 (0.705)","X2",585343.8,0.838604252748556
"123","S3",TRUE,TRUE,120,"E590_zeroed_1",494456.8,"120 h","XS3","XS3 (0.774)","X3",585343.8,0.844728858493077
"124","S4",TRUE,TRUE,120,"E590_zeroed_1",480345.8,"120 h","XS4","XS4 (0.861)","X4",585343.8,0.820621658587654
"125","S5",TRUE,TRUE,120,"E590_zeroed_1",447403.8,"120 h","XS5","XS5 (1.000)","X5",585343.8,0.764343621645945
"126","Mock",TRUE,TRUE,120,"E590_zeroed_1",580207.8,"120 h","Mock","Mock","Ctrl",585343.8,0.991225669427096
"127","S1",TRUE,TRUE,120,"E590_zeroed_2",557163.8,"120 h","XS1","XS1 (0.588)","X1",585343.8,0.951857352892437
"128","S2",TRUE,TRUE,120,"E590_zeroed_2",489973.8,"120 h","XS2","XS2 (0.705)","X2",585343.8,0.837070111616455
"129","S3",TRUE,TRUE,120,"E590_zeroed_2",483598.8,"120 h","XS3","XS3 (0.774)","X3",585343.8,0.826179076296699
"130","S4",TRUE,TRUE,120,"E590_zeroed_2",479299.8,"120 h","XS4","XS4 (0.861)","X4",585343.8,0.818834674596365
"131","S5",TRUE,TRUE,120,"E590_zeroed_2",460774.8,"120 h","XS5","XS5 (1.000)","X5",585343.8,0.787186607255428
"132","Mock",TRUE,TRUE,120,"E590_zeroed_2",578298.8,"120 h","Mock","Mock","Ctrl",585343.8,0.987964338223109
"133","S1",TRUE,TRUE,120,"E590_zeroed_3",546938.8,"120 h","XS1","XS1 (0.588)","X1",585343.8,0.934388986438397
"134","S2",TRUE,TRUE,120,"E590_zeroed_3",474630.8,"120 h","XS2","XS2 (0.705)","X2",585343.8,0.810858165748061
"135","S3",TRUE,TRUE,120,"E590_zeroed_3",466249.8,"120 h","XS3","XS3 (0.774)","X3",585343.8,0.796540084647689
"136","S4",TRUE,TRUE,120,"E590_zeroed_3",464926.8,"120 h","XS4","XS4 (0.861)","X4",585343.8,0.794279874494272
"137","S5",TRUE,TRUE,120,"E590_zeroed_3",440788.8,"120 h","XS5","XS5 (1.000)","X5",585343.8,0.753042570878858
"138","Mock",TRUE,TRUE,120,"E590_zeroed_3",587674.8,"120 h","Mock","Mock","Ctrl",585343.8,1.00398227503221
"139","S1",TRUE,TRUE,120,"E590_zeroed_4",554983.8,"120 h","XS1","XS1 (0.588)","X1",585343.8,0.948133045912505
"140","S2",TRUE,TRUE,120,"E590_zeroed_4",500254.8,"120 h","XS2","XS2 (0.705)","X2",585343.8,0.854634148341539
"141","S3",TRUE,TRUE,120,"E590_zeroed_4",491289.8,"120 h","XS3","XS3 (0.774)","X3",585343.8,0.839318362985992
"142","S4",TRUE,TRUE,120,"E590_zeroed_4",464706.8,"120 h","XS4","XS4 (0.861)","X4",585343.8,0.793904027000884
"143","S5",TRUE,TRUE,120,"E590_zeroed_4",433126.8,"120 h","XS5","XS5 (1.000)","X5",585343.8,0.739952827722784
"144","Mock",TRUE,TRUE,120,"E590_zeroed_4",586833.8,"120 h","Mock","Mock","Ctrl",585343.8,1.00254551256885
"145","S1",TRUE,TRUE,120,"E590_zeroed_5",548685.8,"120 h","XS1","XS1 (0.588)","X1",585343.8,0.937373557215435
"146","S2",TRUE,TRUE,120,"E590_zeroed_5",485960.8,"120 h","XS2","XS2 (0.705)","X2",585343.8,0.830214311657525
"147","S3",TRUE,TRUE,120,"E590_zeroed_5",491669.8,"120 h","XS3","XS3 (0.774)","X3",585343.8,0.839967554110934
"148","S4",TRUE,TRUE,120,"E590_zeroed_5",463813.8,"120 h","XS4","XS4 (0.861)","X4",585343.8,0.792378427857269
"149","S5",TRUE,TRUE,120,"E590_zeroed_5",445414.8,"120 h","XS5","XS5 (1.000)","X5",585343.8,0.760945618626182
"150","Mock",TRUE,TRUE,120,"E590_zeroed_5",593703.8,"120 h","Mock","Mock","Ctrl",585343.8,1.01428220474873
